UF;ENTE;NR CRP;DATA DE EMISSÃO;DATA DE VALIDADE;CRP JUDICIAL;TIPO DE REGIME;SITUAÇÃO DO CRP
PE;Cumaru;982397-188137;10/08/2020;06/02/2021;SIM;RPPS;VÁLIDO
PE;Cupira;982399-184292;31/03/2020;27/09/2020;NÃO;RGPS;VÁLIDO
PE;Custódia;982401-187797;29/07/2020;25/01/2021;SIM;RPPS;VÁLIDO
PE;Dormentes;982299-185305;23/04/2020;20/10/2020;SIM;RPPS;VÁLIDO
PE;Escada;982403-188482;20/08/2020;16/02/2021;SIM;RPPS;VÁLIDO
PE;Exu;982405-187310;07/07/2020;03/01/2021;SIM;RPPS;VÁLIDO
PE;Feira Nova;982407-186078;22/05/2020;18/11/2020;SIM;RPPS;VÁLIDO
PE;Ferreiros;982409-187312;07/07/2020;03/01/2021;SIM;RPPS;VÁLIDO
PE;Flores;982411-188379;19/08/2020;15/02/2021;SIM;RPPS;VÁLIDO
PE;Floresta;982413-188154;12/08/2020;08/02/2021;SIM;RPPS;VÁLIDO
PE;Frei Miguelinho;982415-187565;17/07/2020;13/01/2021;NÃO;RGPS;VÁLIDO
PE;Gameleira;982417-184624;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
PE;Garanhuns;982419-187899;05/08/2020;01/02/2021;SIM;RPPS;VÁLIDO
PE;Glória do Goitá;982421-184284;31/03/2020;27/09/2020;NÃO;RGPS;VÁLIDO
PE;Goiana;982423-184882;07/04/2020;04/10/2020;SIM;RPPS;VÁLIDO
PE;Governo do Estado de Pernambuco;946001-188332;18/08/2020;14/02/2021;SIM;RPPS;VÁLIDO
PE;Granito;982425-183913;13/03/2020;09/09/2020;SIM;RPPS;VENCIDO
PE;Gravatá;982427-187754;29/07/2020;25/01/2021;SIM;RPPS;VÁLIDO
PE;Iati;982429-186974;24/06/2020;21/12/2020;SIM;RPPS;VÁLIDO
PE;Ibimirim;982431-185594;05/05/2020;01/11/2020;SIM;RPPS;VÁLIDO
PE;Ibirajuba;982433-186594;13/06/2020;10/12/2020;SIM;RPPS;VÁLIDO
PE;Igarassu;982435-178318;29/08/2019;25/02/2020;NÃO;RPPS;VENCIDO
PE;Iguaraci;982437-182805;08/02/2020;06/08/2020;SIM;RPPS;VENCIDO
PE;Ilha de Itamaracá;982451-187015;24/06/2020;21/12/2020;SIM;RPPS;VÁLIDO
PE;Inajá;982439-185644;06/05/2020;02/11/2020;SIM;RPPS;VÁLIDO
PE;Ingazeira;982441-185632;06/05/2020;02/11/2020;SIM;RPPS;VÁLIDO
PE;Ipojuca;982443-186266;30/05/2020;26/11/2020;NÃO;RPPS;VÁLIDO
PE;Ipubi;982445-184841;03/04/2020;30/09/2020;SIM;RPPS;VÁLIDO
PE;Itacuruba;982447-186542;10/06/2020;07/12/2020;NÃO;RPPS;VÁLIDO
PE;Itaíba;982449-183922;14/03/2020;10/09/2020;SIM;RPPS;VENCIDO
PE;Itambé;982597-184194;29/03/2020;25/09/2020;SIM;RPPS;VÁLIDO
PE;Itapetim;982453-183769;10/03/2020;06/09/2020;SIM;RPPS;VENCIDO
PE;Itapissuma;982633-184697;01/04/2020;28/09/2020;SIM;RPPS;VÁLIDO
PE;Itaquitinga;982455-188300;15/08/2020;11/02/2021;SIM;RPPS;VÁLIDO
PE;Jaboatão dos Guararapes;982457-188138;11/08/2020;07/02/2021;NÃO;RPPS;VÁLIDO
PE;Jaqueira;980548-185824;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
PE;Jataúba;982459-186068;22/05/2020;18/11/2020;SIM;RPPS;VÁLIDO
PE;Jatobá;980550-185223;22/04/2020;19/10/2020;NÃO;RGPS;VÁLIDO
PE;João Alfredo;982461-188353;18/08/2020;14/02/2021;SIM;RPPS;VÁLIDO
PE;Joaquim Nabuco;982463-185342;24/04/2020;21/10/2020;SIM;RPPS;VÁLIDO
PE;Jucati;982295-183777;10/03/2020;06/09/2020;SIM;RPPS;VENCIDO
PE;Jupi;982465-186560;12/06/2020;09/12/2020;NÃO;RPPS;VÁLIDO
PE;Jurema;982467-187252;06/07/2020;02/01/2021;SIM;RPPS;VÁLIDO
PE;Lagoa do Carro;982289-185389;28/04/2020;25/10/2020;SIM;RPPS;VÁLIDO
PE;Lagoa do Itaenga;982469-185754;15/05/2020;11/11/2020;NÃO;RGPS;VÁLIDO
PE;Lagoa do Ouro;982471-185652;07/05/2020;03/11/2020;SIM;RPPS;VÁLIDO
PE;Lagoa dos Gatos;982473-188702;30/08/2020;26/02/2021;NÃO;RGPS;VÁLIDO
PE;Lagoa Grande;980552-185170;19/04/2020;16/10/2020;SIM;RPPS;VÁLIDO
PE;Lajedo;982475-187678;24/07/2020;20/01/2021;SIM;RPPS;VÁLIDO
PE;Limoeiro;982477-184072;23/03/2020;19/09/2020;SIM;RPPS;VÁLIDO
PE;Macaparana;982479-185192;22/04/2020;19/10/2020;SIM;RPPS;VÁLIDO
PE;Machados;982481-187107;02/07/2020;29/12/2020;SIM;RPPS;VÁLIDO
PE;Manari;980554-185722;13/05/2020;09/11/2020;SIM;RPPS;VÁLIDO
PE;Maraial;982483-184494;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
PE;Mirandiba;982485-127247;18/11/2014;17/05/2015;NÃO;RPPS;VENCIDO
PE;Moreilândia;982585-185366;27/04/2020;24/10/2020;SIM;RPPS;VÁLIDO
PE;Moreno;982487-185687;11/05/2020;07/11/2020;SIM;RPPS;VÁLIDO
PE;Nazaré da Mata;982489-185414;29/04/2020;26/10/2020;NÃO;RGPS;VÁLIDO
PE;Olinda;982491-188175;15/08/2020;11/02/2021;NÃO;RPPS;VÁLIDO
PE;Orobó;982493-188350;18/08/2020;14/02/2021;SIM;RPPS;VÁLIDO
PE;Orocó;982495-158147;07/09/2017;06/03/2018;NÃO;RPPS;VENCIDO
PE;Ouricuri;982497-184078;23/03/2020;19/09/2020;SIM;RPPS;VÁLIDO
PE;Palmares;982499-188596;28/08/2020;24/02/2021;SIM;RPPS;VÁLIDO
PE;Palmeirina;982501-185683;11/05/2020;07/11/2020;SIM;RPPS;VÁLIDO
PE;Panelas;982503-177393;25/07/2019;21/01/2020;NÃO;RPPS;VENCIDO
PE;Paranatama;982505-188598;28/08/2020;24/02/2021;SIM;RPPS;VÁLIDO
PE;Parnamirim;982507-183662;04/03/2020;31/08/2020;SIM;RPPS;VENCIDO
PE;Passira;982509-184387;01/04/2020;28/09/2020;SIM;RPPS;VÁLIDO
PE;Paudalho;982511-188377;19/08/2020;15/02/2021;NÃO;RGPS;VÁLIDO
PE;Paulista;982513-186544;10/06/2020;07/12/2020;NÃO;RPPS;VÁLIDO
PE;Pedra;982515-188321;15/08/2020;11/02/2021;SIM;RPPS;VÁLIDO
PE;Pesqueira;982517-187642;22/07/2020;18/01/2021;SIM;RPPS;VÁLIDO
PE;Petrolândia;982519-186573;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
PE;Petrolina;982521-187879;04/08/2020;31/01/2021;SIM;RPPS;VÁLIDO
PE;Poção;982523-186957;24/06/2020;21/12/2020;NÃO;RGPS;VÁLIDO
PE;Pombos;982525-184710;01/04/2020;28/09/2020;SIM;RPPS;VÁLIDO
PE;Primavera;982527-186634;13/06/2020;10/12/2020;SIM;RGPS;VÁLIDO
PE;Quipapá;982529-184227;29/03/2020;25/09/2020;SIM;RPPS;VÁLIDO
PE;Quixaba;982637-187091;30/06/2020;27/12/2020;SIM;RPPS;VÁLIDO
PE;Recife;982531-187671;24/07/2020;20/01/2021;NÃO;RPPS;VÁLIDO
PE;Riacho das Almas;982533-187376;08/07/2020;04/01/2021;NÃO;RPPS;VÁLIDO
PE;Ribeirão;982535-186200;26/05/2020;22/11/2020;SIM;RPPS;VÁLIDO
